Ad,Day,Status,Spend,Net Revenue,Net ROAS,NC Net ROAS,Cost /<BR># SC Trials,CPA,NC CPA,Net Loss<BR>Per Trial,Fixed Refund<BR>NLPT,NC %,Gross Revenue,Gross<BR>ROAS,CVR,NC CVR%,RC CVR%,AOV,NC AOV,RC AOV,CPC,CTR,CPM,Orders,# SC Trials<BR>Started,NC Orders,Clicks,Impressions,Fixed Refund<BR>Net Revenue
pmax,2026-03-14,Active,5661.20047,1578.7506633333342,1.2788720646264862,0.9511566339803781,138.07806024390243,134.79048738095238,171.55152939393938,38.50611373983742,22.136357642276447,0.7857142857142857,11502.0,2.0317245539972904,0.010081613058089293,0.007921267402784446,0.002400384061449832,267.48837209302326,261.2121212121212,288.2,1.3589055376860297,0.012123257972802696,16.474362394037897,43,41,33,4166,343637,907.5906633333343
pmax,2026-03-14,Inactive,19.205190000000005,-19.205190000000005,0.0,,,,,,,,,,0.0,0.0,0.0,,,,0.33693315789473693,0.026474686483975846,8.920199721319092,0,0,0,57,2153,-19.205190000000005
357-sp003,2026-03-14,Active,28.0278,42.40836666666671,2.513082249290587,2.513082249290587,28.0278,28.0278,28.0278,42.40836666666671,172.3083666666667,1.0,398.0,14.200186957235317,,,,398.0,398.0,,,0.0,20.14938892882818,1,1,1,0,1391,172.3083666666667
microsoft ads (no ad name),2026-03-14,Active,1543.5699999999997,-14.438583333332872,0.9906459808539082,0.7481751178544978,90.79823529411763,90.79823529411763,128.6308333333333,-0.8493284313725219,0.6118480392157086,0.7058823529411765,2802.0,1.8152723880355284,0.008937960042060988,0.006309148264984227,0.0026288117770767614,164.8235294117647,186.5,112.8,0.8115509989484752,0.00580827205433269,4.713708987858206,17,17,12,1902,327464,10.401416666667046
search ad,2026-03-14,Active,1756.1343079999997,5375.119942000001,4.0607681414307875,2.984949324654199,65.0420114074074,42.83254409756097,54.87919712499999,199.0785163703704,163.36183488888895,0.7804878048780488,12054.380000000001,6.864156087086708,0.058823529411764705,0.04591104734576758,0.01291248206599713,294.009268292683,283.16812500000003,332.55555555555554,2.5195614175035863,0.23555255153768165,593.4891206488677,41,27,32,697,2959,4410.769542000002
dqfe-0027-v0005-fb-9x16-180s-nn-xx-sad-erla-dr-ch-us-20260306,2026-03-14,Active,1023.99,-466.0161999999999,0.5449016103672888,0.4128165314114396,204.798,204.798,255.9975,-93.20323999999998,-78.03523999999997,0.8,752.0,0.7343821717008955,0.007022471910112359,0.0056179775280898875,0.0014044943820224719,150.4,144.0,176.0,1.438188202247191,0.04544874249968084,65.3638452700115,5,5,4,712,15666,-390.1761999999999
ossf-0466-v0149-16x9-exp-vd-2min-hank-dryl-cdryl-x-07152025,2026-03-14,Active,849.097524,-356.777524,0.5798156113808194,0.42787782290129495,169.8195048,169.8195048,212.274381,-71.3555048,-70.85150480000001,0.8,556.0,0.6548128857810684,0.02577319587628866,0.020618556701030927,0.005154639175257732,111.2,105.75,133.0,4.376791360824742,0.005675335693180821,24.839760231694118,5,5,4,194,34183,-354.25752400000005
shopping ad,2026-03-14,Active,2769.64,320.22141666666676,1.115618425740048,0.8061099396792845,131.88761904761904,115.40166666666666,153.86888888888888,15.248638888888893,7.0543531746031825,0.75,6500.0,2.3468754061899744,0.025423728813559324,0.019067796610169493,0.007415254237288136,260.0,251.94444444444446,280.7142857142857,2.9339406779661017,0.006459515125803163,18.95183418753122,25,21,18,944,146141,148.14141666666683
357-0033-v0001-9x16-nn-vd-1min-garymc-mrten-cmrten-x-07102025-rtn,2026-03-14,Active,112.85,690.6904166666667,7.120429035592971,4.2034935755427565,37.61666666666667,28.2125,56.425,230.2301388888889,197.56347222222223,0.5,1225.0,10.855117412494462,0.058823529411764705,0.029411764705882353,0.029411764705882353,306.25,363.5,249.0,1.6595588235294116,0.01596244131455399,26.490610328638496,4,3,2,68,4260,592.6904166666667
357-i024-v001-open,2026-03-14,Active,769.3222920000001,121.20620799999995,1.157549325244302,0.6418171618508098,153.86445840000002,153.86445840000002,256.440764,24.241241599999988,1.937241599999993,0.6,1394.0,1.8119844108195944,0.005668934240362812,0.003401360544217687,0.0022675736961451248,278.8,249.0,323.5,0.8722474965986395,0.004467904036310586,3.897118110714865,5,5,3,882,197408,9.686207999999965
clst-0178-v0026-9x16-exp-vd-2min-jcull-mrten-co-midssn2025-08112025-sca,2026-03-14,Active,71.55,7.287499999999994,1.1018518518518519,1.1018518518518519,71.55,71.55,71.55,7.287499999999994,-3.8325000000000102,1.0,139.0,1.9426974143955278,0.02857142857142857,0.02857142857142857,0.0,139.0,139.0,,2.044285714285714,0.01782985226693836,36.44931227712685,1,1,1,35,1963,-3.8325000000000102
pgf-0012-v0004-fb-9x16-180s-nn-xx-gru-tbri-ca-ch-us-20260227,2026-03-14,Active,246.24,40.17750000000001,1.1631639863547758,,246.24,246.24,,40.17750000000001,11.9375,0.0,353.0,1.4335607537361923,0.0055248618784530384,0.0,0.0055248618784530384,353.0,,353.0,1.3604419889502763,0.015192210844384758,20.66812153768676,1,1,0,181,11914,11.9375
sf1-0481-v0001-fb-9x16-60s-nn-xx-aio-mult-jm-co-us-20260225-sca,2026-03-14,Active,203.26,250.2235,2.231051362786579,2.231051362786579,67.75333333333333,67.75333333333333,67.75333333333333,83.40783333333333,61.9145,1.0,806.0,3.965364557709338,0.02702702702702703,0.02702702702702703,0.0,268.6666666666667,268.6666666666667,,1.8311711711711711,0.011466942148760331,20.99793388429752,3,3,3,111,9680,185.74349999999998
357-0015-v0005-9x16-nnmu-vd-2min-garymc-mrten-cmrten-summersale2025-06202025,2026-03-14,Active,313.543383,-3.7672163333332946,0.9879850236439743,0.9879850236439743,313.543383,313.543383,313.543383,-3.7672163333332946,-42.007216333333304,1.0,478.0,1.5245099272275187,0.007352941176470588,0.007352941176470588,0.0,478.0,478.0,,2.3054660514705883,0.008494690818238601,19.584221299188005,1,1,1,136,16010,-42.007216333333304
357-0059-v0004-9x16-nn-vd-0min-gcarry-clev-cclev-x-09192025-sca,2026-03-14,Active,192.88000000000002,136.29616666666666,1.7066371146135766,1.7066371146135766,96.44000000000001,96.44000000000001,96.44000000000001,68.14808333333333,48.228083333333316,1.0,498.0,2.5819162173372043,0.012738853503184714,0.012738853503184714,0.0,249.0,249.0,,1.228535031847134,0.018852065321805955,23.160422670509128,2,2,2,157,8328,96.45616666666663
